UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.54_NO. 5,PAHANG,P.54,RAUB,NO. 5,CAMERON HIGHLANDS,INDEPENDENT,YONG HONG CHONG,MALE,,
P.54_NO. 6,PAHANG,P.54,RAUB,NO. 6,DONG,ALLIANCE - UMNO,SENDIRI BIN HAJI HUSIN,MALE,,
P.54_NO. 7,PAHANG,P.54,RAUB,NO. 7,BANDAR RAUB,ALLIANCE - MCA,CHUA YONG GUAN,MALE,,
P.54_NO. 8,PAHANG,P.54,RAUB,NO. 8,TRAS,ALLIANCE - UMNO,SULAIMAN BIN SHAHBUDDIN,MALE,,
P.55_NO. 9,PAHANG,P.55,BENTONG,NO. 9,SABAI,ALLIANCE - UMNO,ABU BAKAR BIN HAJI AHMAD,MALE,,
P.55_NO. 10,PAHANG,P.55,BENTONG,NO. 10,BANDAR BENTONG,ALLIANCE - MCA,CHOW SENG TOONG,MALE,,Y
P.55_NO. 11,PAHANG,P.55,BENTONG,NO. 11,BENUS,ALLIANCE - MCA,CHAN SANG,MALE,,
P.55_NO. 12,PAHANG,P.55,BENTONG,NO. 12,MENTAKAB,ALLIANCE - UMNO,SALEHUDDIN BIN AWANG PEKAN,MALE,,
P.56_NO. 13,PAHANG,P.56,TEMERLOH,NO. 13,CHENOR,ALLIANCE - UMNO,WAN ABDUL AZIZ BIN UNGKU HAJI ABDULLAH,MALE,45,
P.56_NO. 14,PAHANG,P.56,TEMERLOH,NO. 14,TRIANG,ALLIANCE - MCA,LUM WAH KUM @ LUM BAN KEE,MALE,,
P.56_NO. 15,PAHANG,P.56,TEMERLOH,NO. 15,KUALA SEMANTAN,ALLIANCE - UMNO,AWANG NGAH BIN TOK MUDA IBRAHIM,MALE,,
P.56_NO. 16,PAHANG,P.56,TEMERLOH,NO. 16,JENDERAK,ALLIANCE - UMNO,MOHD. YUSOFF BIN HAJI LONG,MALE,,
P.56_NO. 17,PAHANG,P.56,TEMERLOH,NO. 17,SANGGANG,ALLIANCE - UMNO,YAHAYA BIN HJ. MOHD SETH,MALE,,
P.57_NO. 18,PAHANG,P.57,KUANTAN,NO. 18,TANAH PUTEH,ALLIANCE - MCA,DATO ' SETIA BAKTI WONG KWAN TAN,MALE,,
P.57_NO. 19,PAHANG,P.57,KUANTAN,NO. 19,TELOK SISEK,ALLIANCE - UMNO,MAHIMON BINTI HARUN,FEMALE,38,
P.57_NO. 20,PAHANG,P.57,KUANTAN,NO. 20,BESERAH,ALLIANCE - UMNO,ABDUL AZIZ BIN AHMAD,MALE,,
P.57_NO. 21,PAHANG,P.57,KUANTAN,NO. 21,ULU KUANTAN,ALLIANCE - UMNO,ZAINUDDIN BIN HAJI AHMAD,MALE,,
P.58_NO. 22,PAHANG,P.58,PEKAN,NO. 22,KUALA PAHANG,ALLIANCE - UMNO,MUHAMMAD BIN JUSOH,MALE,,
P.58_NO. 23,PAHANG,P.58,PEKAN,NO. 23,PAHANG TUA,ALLIANCE - UMNO,AHMAD BIN OTHMAN @ HAJI AHMAD BIN OTHMAN,MALE,,
P.58_NO. 24,PAHANG,P.58,PEKAN,NO. 24,ROMPIN,ALLIANCE - UMNO,IBRAHIM BIN ARSHAD,MALE,,
P.59_NO. 1,JOHORE,P.59,JOHORE TIMOR,NO. 1,ENDAU,ALLIANCE - UMNO,ALI AFFENDI BIN AHMAD,MALE,,
P.59_NO. 2,JOHORE,P.59,JOHORE TIMOR,NO. 2,MERSING,ALLIANCE - MCA,POH SWEE LIM,FEMALE,,
P.60_NO. 3,JOHORE,P.60,JOHORE TENGGARA,NO. 3,KOTA TINGGI,ALLIANCE - UMNO,ISMAIL BIN SA'DON,MALE,,
P.60_NO. 4,JOHORE,P.60,JOHORE TENGGARA,NO. 4,JOHORE LAMA,ALLIANCE - MCA,LEE YEAK KHIM,MALE,41,
